id,gender,age,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr
100,female,1378,321,212.07400021277766,-1.5451655496801222,1.1465552276966724,230.0,220.0,61.584317890322545,65.0,295.0,215.0,245.0,30.0
100,female,1378,217,222.86603195396384,-1.3889120136798827,3.0614272424844025,225.00000000000003,225.00000000000003,34.279744197420996,105.00000000000001,290.0,215.0,240.00000000000003,25.00000000000003
100,female,1378,247,222.40890688259108,-1.1358002181322273,5.466405823735908,225.00000000000003,225.00000000000003,27.11437018381606,95.0,295.0,210.00000000000003,230.0,19.99999999999997
100,female,1378,264,216.48956255343404,-1.0105955533134758,4.756747237032933,215.0,215.0,24.231025246898362,115.0,290.0,210.00000000000003,225.00000000000003,15.0
100,female,1378,293,222.69504210042047,-1.6095981107102246,6.423332593332898,225.00000000000003,225.00000000000003,24.22649558728138,115.0,290.0,220.0,230.0,10.0
100,female,1378,316,219.09810126582278,-2.116922513594016,7.660865969561867,220.0,225.00000000000003,31.723586584147405,70.0,295.0,215.0,230.0,15.0
100,female,1378,144,219.34027777777777,0.4085496083923726,0.6978828940296906,210.00000000000003,200.0,30.67666575990718,115.0,295.0,200.0,235.0,35.0
100,female,1378,122,225.24590163934425,0.890701595169266,-0.12223132487272448,215.0,215.0,29.09743706684796,180.00000000000003,295.0,205.0,240.00000000000003,35.00000000000003
100,female,1378,119,223.31932773109244,0.2130980426792372,-0.2606037077113452,215.0,210.00000000000003,32.26907169075907,145.0,295.0,200.0,247.5,47.5
100,female,1378,143,219.86013986013987,0.3931506863485664,0.40217671540160893,210.00000000000003,205.0,30.867096428697028,120.00000000000001,295.0,200.0,237.5,37.5
101,female,1378,218,245.36697247706422,-3.19671891601944,17.829512819331285,240.00000000000003,235.0,31.620647229319598,55.0,295.0,235.0,260.0,25.0
101,female,1378,250,246.36,0.9661257876254675,-0.11421766774697284,240.00000000000003,235.0,18.07623854677737,220.0,295.0,235.0,255.00000000000003,20.00000000000003
101,female,1378,292,251.64383561643837,0.588289426015758,-0.6593107116809587,245.0,235.0,18.161278893334334,215.0,295.0,235.0,265.0,30.0
101,female,1378,315,226.83292978208232,-2.159343241714454,3.30118058687506,240.00000000000003,235.0,66.55039030572752,35.0,295.0,230.0,260.0,30.0
101,female,1378,277,249.1335740072202,-2.702509601510229,28.44747473108939,245.0,235.0,21.34401544999725,45.00000000000001,295.0,235.0,260.0,25.0
101,female,1378,297,241.15592159905307,-2.780775299570702,7.084866881088823,250.0,250.0,52.16531500659404,40.0,290.0,240.00000000000003,260.0,19.99999999999997
101,female,1378,310,235.62055768179331,-2.753624650859657,7.114527621577356,245.0,230.0,52.79409484189534,37.3728813559322,295.0,231.25,255.00000000000003,23.75000000000003
101,female,1378,293,240.9865090219382,-2.693214646045403,6.444217376160434,250.0,245.0,56.6947209195902,30.000000000000004,295.0,245.0,260.0,15.0
101,female,1378,268,244.9965670861583,-2.291566102477288,7.021792095520453,250.0,250.0,33.750889842444835,50.0,295.0,240.00000000000003,260.0,19.99999999999997
101,female,1378,338,229.39253028640974,-2.512832462274591,5.092520538752737,245.0,245.0,63.2481446363943,30.000000000000004,295.0,235.0,255.00000000000003,20.00000000000003
102,female,1377,270,215.6060777758891,0.24618033619663068,3.6992809173650985,210.00000000000003,210.00000000000003,23.156286060350453,105.00000000000001,290.0,205.0,220.0,15.0
102,female,1377,267,220.61797752808988,0.16427559939468583,2.3953023356130236,210.00000000000003,210.00000000000003,26.242390279755398,105.00000000000001,295.0,205.0,237.5,32.5
102,female,1377,271,211.95571955719558,0.20065140358817593,1.0702980858627997,210.00000000000003,210.00000000000003,23.437399437201144,130.0,285.0,200.0,220.0,20.0
102,female,1377,262,210.8473644276125,-1.902484316186424,13.45247421626426,210.00000000000003,210.00000000000003,25.31051257494943,57.00948003447285,295.0,200.0,215.0,15.0
102,female,1377,55,208.1818181818182,1.2629502267996118,2.7636935434381877,205.0,195.00000000000003,24.723261706770955,150.0,290.0,195.00000000000003,217.5,22.49999999999997
102,female,1377,250,221.28,0.7916730227857849,0.13606043011381486,215.0,215.0,24.6162872911412,145.0,295.0,205.0,235.0,30.0
102,female,1377,261,226.68239846297,-0.5823545377332746,4.433539602728365,220.0,215.0,23.282967657191186,95.0,280.0,215.0,240.00000000000003,25.00000000000003
102,female,1377,259,222.65223526644846,-1.0643178717255306,5.927480336703292,220.0,230.0,24.8417740523688,105.00000000000001,290.0,210.00000000000003,230.0,19.99999999999997
102,female,1377,264,231.27608019225025,-0.8330022870427831,5.707156431008752,230.0,235.0,22.410706027879606,95.0,285.0,220.0,240.00000000000003,20.00000000000003
102,female,1377,264,233.05584225011935,-1.688809352318496,12.162223449012744,230.0,230.0,21.68909551966181,81.74235403151066,290.0,225.00000000000003,240.00000000000003,15.0
102,female,1377,287,233.78720882930367,-0.8047678761578332,7.520039216100406,230.0,235.0,20.47768818686067,111.92893401015228,290.0,225.00000000000003,240.00000000000003,15.0
103,female,1378,121,228.8528645791929,0.04126979238413279,-0.3120389365109224,215.0,200.0,39.299094645347374,95.0,295.0,200.0,265.0,65.0
103,female,1378,145,230.06896551724137,0.2847866763488575,-0.535693942550632,215.0,200.0,36.12710419547261,110.0,295.0,200.0,260.0,60.0
103,female,1378,73,216.48999441748614,-0.2174251411998246,1.6031179536930713,210.00000000000003,200.0,39.80992211513028,65.0,295.0,195.00000000000003,235.0,39.99999999999997
103,female,1378,99,217.17171717171718,0.13465861662367223,0.8206035125410023,220.0,220.0,28.214202456983337,125.0,295.0,195.00000000000003,232.5,37.49999999999997
